GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
demo,com.example.demo.service,BookService,134,3,2,0,33,1,13,1,12,1
demo,com.example.demo.service,EmailService,180,3,0,0,48,1,3,1,3,1
demo,com.example.demo.service,UserService,648,3,94,0,152,1,60,1,13,1
demo,com.example.demo.service,ReservationService,388,3,36,0,94,1,27,1,9,1
demo,com.example.demo.service,AuthorService,68,3,2,0,18,1,8,1,7,1
demo,com.example.demo.controller,ReservationController,247,3,8,0,61,1,12,1,8,1
demo,com.example.demo.controller,UserController,630,3,54,0,145,1,40,1,13,1
demo,com.example.demo.controller,BookController,192,3,6,0,61,1,16,1,13,1
demo,com.example.demo.controller,AuthorController,71,3,2,0,22,1,6,1,5,1
demo,com.example.demo.entity,UserStatus,0,15,0,0,0,3,0,1,0,1
demo,com.example.demo.entity,Reservation,4,0,0,0,2,0,1,0,1,0
demo,com.example.demo.entity,PasswordHistory,4,0,0,0,2,0,1,0,1,0
demo,com.example.demo.entity,User,7,0,0,0,3,0,1,0,1,0
demo,com.example.demo.entity,ReservationStatus,0,21,0,0,0,4,0,1,0,1
demo,com.example.demo.config,SecurityQuestions,34,0,0,0,4,0,4,0,4,0
demo,com.example.demo.config,SecurityConfig,0,7,0,0,0,2,0,2,0,2
demo,com.example.demo,DemoApplication,5,3,0,0,2,1,1,1,1,1
